id,disease,plants,names,disease_description,treatment_suggestions,symptoms,region,severity,control_measures
721,Anthracnose,Corn,Solanum,A fungal disease,Maintain good hygiene,Reddish pustules,Australia,Medium,Maintain field hygiene
722,Leaf Spot,Potato,Solanum,A viral infection,Maintain good hygiene,Yellowing leaves,Europe,Low,Avoid overhead irrigation
723,Anthracnose,Corn,Triticum,A parasitic infection,Use fungicides,White powder on leaves,Africa,Medium,Crop rotation
724,Leaf Spot,Soybean,Triticum,A bacterial infection,Apply neem oil,Black spots on leaves,Europe,High,Use certified seeds
725,Leaf Spot,Potato,Triticum,A parasitic infection,Use resistant varieties,Yellowing leaves,Australia,Low,Use mulch
726,Leaf Spot,Tomato,Glycine,A viral infection,Maintain good hygiene,Yellowing leaves,Asia,High,Crop rotation
727,Rust,Corn,Solanum,Caused by nematodes,Use fungicides,Reddish pustules,Asia,High,Crop rotation
728,Powdery Mildew,Corn,Lycopersicon,A fungal disease,Use resistant varieties,Leaf curling,Europe,High,Crop rotation
729,Anthracnose,Potato,Zea,A bacterial infection,Rotate crops,Yellowing leaves,Australia,Low,Crop rotation
730,Leaf Spot,Soybean,Glycine,A fungal disease,Rotate crops,White powder on leaves,Asia,Medium,Use certified seeds
731,Leaf Spot,Soybean,Glycine,A viral infection,Maintain good hygiene,Reddish pustules,Asia,High,Crop rotation
732,Late Blight,Soybean,Lycopersicon,A parasitic infection,Maintain good hygiene,Leaf curling,Asia,Low,Use certified seeds
733,Late Blight,Tomato,Glycine,A fungal disease,Rotate crops,Yellowing leaves,Australia,Medium,Crop rotation
734,Rust,Potato,Lycopersicon,A parasitic infection,Maintain good hygiene,Black spots on leaves,Asia,High,Crop rotation
735,Leaf Spot,Wheat,Lycopersicon,A fungal disease,Rotate crops,Black spots on leaves,Australia,High,Use certified seeds
736,Anthracnose,Tomato,Solanum,A viral infection,Use fungicides,Black spots on leaves,Europe,Medium,Crop rotation
737,Anthracnose,Soybean,Glycine,A parasitic infection,Use resistant varieties,Reddish pustules,Australia,Medium,Maintain field hygiene
738,Late Blight,Soybean,Glycine,A fungal disease,Use fungicides,Black spots on leaves,Europe,High,Use certified seeds
739,Late Blight,Corn,Zea,A fungal disease,Rotate crops,Leaf curling,Europe,Medium,Use mulch
740,Powdery Mildew,Tomato,Lycopersicon,A viral infection,Use fungicides,Reddish pustules,Asia,High,Maintain field hygiene
741,Leaf Spot,Potato,Zea,A parasitic infection,Rotate crops,White powder on leaves,Europe,Low,Crop rotation
742,Leaf Spot,Soybean,Zea,A fungal disease,Use fungicides,White powder on leaves,Europe,High,Crop rotation
743,Late Blight,Wheat,Zea,A bacterial infection,Use resistant varieties,Black spots on leaves,America,Medium,Use mulch
744,Late Blight,Corn,Triticum,A viral infection,Rotate crops,Reddish pustules,America,High,Maintain field hygiene
745,Late Blight,Potato,Solanum,A fungal disease,Maintain good hygiene,Black spots on leaves,America,High,Use certified seeds
746,Powdery Mildew,Potato,Lycopersicon,A viral infection,Maintain good hygiene,Black spots on leaves,Africa,Medium,Maintain field hygiene
747,Powdery Mildew,Potato,Glycine,Caused by nematodes,Maintain good hygiene,White powder on leaves,Australia,Low,Use mulch
748,Powdery Mildew,Corn,Triticum,A fungal disease,Rotate crops,White powder on leaves,Australia,Low,Use certified seeds
749,Leaf Spot,Wheat,Triticum,A bacterial infection,Maintain good hygiene,Reddish pustules,America,High,Use certified seeds
750,Powdery Mildew,Soybean,Triticum,Caused by nematodes,Apply neem oil,Black spots on leaves,Asia,Medium,Avoid overhead irrigation
751,Leaf Spot,Corn,Glycine,A viral infection,Use resistant varieties,Reddish pustules,America,High,Crop rotation
752,Late Blight,Corn,Triticum,A parasitic infection,Apply neem oil,Leaf curling,Australia,Low,Use certified seeds
753,Leaf Spot,Wheat,Triticum,A parasitic infection,Rotate crops,Leaf curling,America,Medium,Use certified seeds
754,Anthracnose,Potato,Glycine,A viral infection,Rotate crops,Yellowing leaves,Asia,High,Avoid overhead irrigation
755,Rust,Soybean,Solanum,A parasitic infection,Use resistant varieties,White powder on leaves,Australia,Low,Avoid overhead irrigation
756,Late Blight,Tomato,Triticum,A parasitic infection,Use fungicides,Reddish pustules,Europe,High,Use certified seeds
757,Anthracnose,Potato,Lycopersicon,A bacterial infection,Use resistant varieties,Black spots on leaves,Asia,High,Use mulch
758,Rust,Potato,Solanum,Caused by nematodes,Apply neem oil,Yellowing leaves,Africa,High,Avoid overhead irrigation
759,Anthracnose,Wheat,Glycine,A fungal disease,Apply neem oil,Leaf curling,America,Low,Maintain field hygiene
760,Rust,Tomato,Solanum,Caused by nematodes,Apply neem oil,Black spots on leaves,Australia,High,Use mulch
761,Rust,Soybean,Solanum,A viral infection,Apply neem oil,Yellowing leaves,Asia,Medium,Maintain field hygiene
762,Powdery Mildew,Soybean,Zea,A bacterial infection,Use fungicides,Yellowing leaves,Africa,Low,Maintain field hygiene
763,Anthracnose,Soybean,Glycine,A viral infection,Rotate crops,Leaf curling,Australia,High,Use mulch
764,Anthracnose,Wheat,Solanum,Caused by nematodes,Rotate crops,Black spots on leaves,Australia,High,Use certified seeds
765,Late Blight,Tomato,Glycine,A bacterial infection,Use resistant varieties,Black spots on leaves,America,Low,Crop rotation
766,Leaf Spot,Tomato,Triticum,A bacterial infection,Rotate crops,Yellowing leaves,Asia,Low,Maintain field hygiene
767,Anthracnose,Potato,Glycine,Caused by nematodes,Rotate crops,White powder on leaves,Europe,High,Use mulch
768,Anthracnose,Corn,Solanum,A fungal disease,Rotate crops,White powder on leaves,Australia,High,Maintain field hygiene
769,Late Blight,Tomato,Glycine,Caused by nematodes,Use fungicides,White powder on leaves,Asia,High,Crop rotation
770,Late Blight,Soybean,Zea,A bacterial infection,Use fungicides,Yellowing leaves,Africa,Low,Avoid overhead irrigation
771,Powdery Mildew,Soybean,Zea,A bacterial infection,Rotate crops,White powder on leaves,Europe,High,Avoid overhead irrigation
772,Leaf Spot,Corn,Zea,A fungal disease,Apply neem oil,Leaf curling,Australia,Low,Avoid overhead irrigation
773,Leaf Spot,Corn,Glycine,A fungal disease,Rotate crops,Yellowing leaves,America,Low,Maintain field hygiene
774,Powdery Mildew,Potato,Solanum,A viral infection,Use resistant varieties,White powder on leaves,America,Low,Maintain field hygiene
775,Late Blight,Potato,Triticum,A viral infection,Maintain good hygiene,Reddish pustules,Europe,High,Use mulch
776,Late Blight,Wheat,Lycopersicon,A bacterial infection,Use resistant varieties,Black spots on leaves,Australia,Medium,Use certified seeds
777,Late Blight,Soybean,Triticum,A viral infection,Maintain good hygiene,Yellowing leaves,Australia,Low,Crop rotation
778,Anthracnose,Wheat,Zea,A fungal disease,Use fungicides,Black spots on leaves,Africa,Medium,Avoid overhead irrigation
779,Leaf Spot,Soybean,Solanum,A viral infection,Use fungicides,Black spots on leaves,Africa,High,Use certified seeds
780,Leaf Spot,Wheat,Glycine,A viral infection,Rotate crops,White powder on leaves,America,Medium,Crop rotation
781,Rust,Potato,Glycine,A bacterial infection,Maintain good hygiene,Reddish pustules,America,Low,Avoid overhead irrigation
782,Rust,Tomato,Solanum,Caused by nematodes,Use fungicides,White powder on leaves,Australia,Low,Avoid overhead irrigation
783,Anthracnose,Corn,Solanum,Caused by nematodes,Use fungicides,Reddish pustules,Asia,High,Use certified seeds
784,Anthracnose,Soybean,Zea,A parasitic infection,Rotate crops,Reddish pustules,Africa,High,Crop rotation
785,Leaf Spot,Potato,Zea,A parasitic infection,Use fungicides,Black spots on leaves,Europe,Medium,Use mulch
786,Rust,Potato,Solanum,A bacterial infection,Maintain good hygiene,Black spots on leaves,Europe,Medium,Avoid overhead irrigation
787,Powdery Mildew,Potato,Zea,A bacterial infection,Use resistant varieties,Reddish pustules,Europe,Medium,Use certified seeds
788,Late Blight,Wheat,Lycopersicon,Caused by nematodes,Use fungicides,Reddish pustules,America,Low,Use certified seeds
789,Leaf Spot,Corn,Glycine,A bacterial infection,Apply neem oil,Reddish pustules,Asia,Medium,Use mulch
790,Powdery Mildew,Potato,Zea,A fungal disease,Use fungicides,Black spots on leaves,Europe,Low,Use mulch
791,Anthracnose,Wheat,Zea,A bacterial infection,Use resistant varieties,Leaf curling,America,High,Use certified seeds
792,Late Blight,Potato,Zea,A viral infection,Rotate crops,Leaf curling,Africa,High,Use certified seeds
793,Anthracnose,Wheat,Solanum,A bacterial infection,Rotate crops,Yellowing leaves,Africa,Medium,Maintain field hygiene
794,Rust,Tomato,Lycopersicon,Caused by nematodes,Use resistant varieties,Leaf curling,Asia,Low,Crop rotation
795,Powdery Mildew,Wheat,Zea,A fungal disease,Rotate crops,White powder on leaves,America,Medium,Use mulch
796,Late Blight,Soybean,Lycopersicon,A parasitic infection,Use fungicides,Black spots on leaves,Australia,High,Use mulch
797,Late Blight,Corn,Lycopersicon,A fungal disease,Maintain good hygiene,Leaf curling,Africa,High,Use mulch
798,Anthracnose,Wheat,Solanum,A fungal disease,Use fungicides,Reddish pustules,America,Low,Use certified seeds
799,Leaf Spot,Corn,Zea,A viral infection,Maintain good hygiene,Reddish pustules,Asia,High,Avoid overhead irrigation
800,Powdery Mildew,Wheat,Lycopersicon,A fungal disease,Apply neem oil,White powder on leaves,Africa,Low,Crop rotation
801,Late Blight,Corn,Zea,A bacterial infection,Use resistant varieties,Yellowing leaves,America,Low,Use certified seeds
802,Late Blight,Tomato,Zea,Caused by nematodes,Use resistant varieties,Reddish pustules,Australia,High,Crop rotation
803,Rust,Soybean,Triticum,A fungal disease,Use fungicides,Leaf curling,Australia,Low,Use certified seeds
804,Powdery Mildew,Soybean,Glycine,A fungal disease,Rotate crops,Reddish pustules,Asia,High,Use mulch
805,Powdery Mildew,Soybean,Zea,A bacterial infection,Use resistant varieties,Yellowing leaves,Africa,High,Avoid overhead irrigation
806,Late Blight,Wheat,Solanum,A fungal disease,Maintain good hygiene,White powder on leaves,Asia,Low,Maintain field hygiene
807,Powdery Mildew,Soybean,Glycine,A parasitic infection,Rotate crops,Yellowing leaves,Australia,Low,Use certified seeds
808,Powdery Mildew,Potato,Solanum,A fungal disease,Maintain good hygiene,Yellowing leaves,Asia,Medium,Use certified seeds
809,Late Blight,Potato,Solanum,A fungal disease,Use resistant varieties,Black spots on leaves,Africa,High,Use mulch
810,Late Blight,Soybean,Solanum,A fungal disease,Maintain good hygiene,Reddish pustules,Africa,Low,Maintain field hygiene
811,Anthracnose,Soybean,Triticum,A parasitic infection,Apply neem oil,Reddish pustules,America,Low,Use mulch
812,Anthracnose,Wheat,Glycine,A parasitic infection,Maintain good hygiene,Leaf curling,America,High,Use certified seeds
813,Anthracnose,Soybean,Solanum,A parasitic infection,Use fungicides,Yellowing leaves,Europe,High,Use mulch
814,Anthracnose,Corn,Triticum,A parasitic infection,Apply neem oil,White powder on leaves,America,Medium,Crop rotation
815,Powdery Mildew,Tomato,Glycine,A fungal disease,Use fungicides,Reddish pustules,Europe,Medium,Crop rotation
816,Rust,Wheat,Solanum,A bacterial infection,Maintain good hygiene,Reddish pustules,America,High,Crop rotation
817,Late Blight,Wheat,Solanum,Caused by nematodes,Rotate crops,White powder on leaves,Africa,Medium,Maintain field hygiene
818,Late Blight,Potato,Zea,Caused by nematodes,Use fungicides,Black spots on leaves,Africa,Medium,Crop rotation
819,Leaf Spot,Wheat,Glycine,A fungal disease,Rotate crops,Leaf curling,Asia,High,Avoid overhead irrigation
820,Rust,Wheat,Lycopersicon,A viral infection,Apply neem oil,Reddish pustules,Africa,High,Maintain field hygiene
821,Rust,Tomato,Solanum,Caused by nematodes,Maintain good hygiene,Reddish pustules,Africa,Low,Use mulch
822,Late Blight,Corn,Solanum,A parasitic infection,Rotate crops,Leaf curling,Europe,High,Use mulch
823,Rust,Tomato,Solanum,A viral infection,Use fungicides,Leaf curling,Asia,Medium,Avoid overhead irrigation
824,Leaf Spot,Corn,Zea,A bacterial infection,Use resistant varieties,Reddish pustules,Africa,High,Crop rotation
825,Powdery Mildew,Potato,Zea,A viral infection,Apply neem oil,Leaf curling,Africa,Low,Use mulch
826,Anthracnose,Tomato,Zea,A bacterial infection,Apply neem oil,Leaf curling,Australia,High,Use mulch
827,Leaf Spot,Tomato,Glycine,A viral infection,Rotate crops,White powder on leaves,Africa,High,Use mulch
828,Anthracnose,Tomato,Triticum,Caused by nematodes,Apply neem oil,Leaf curling,Australia,Medium,Maintain field hygiene
829,Late Blight,Soybean,Glycine,A parasitic infection,Maintain good hygiene,White powder on leaves,America,Low,Use mulch
830,Powdery Mildew,Soybean,Triticum,A bacterial infection,Apply neem oil,Yellowing leaves,America,Medium,Avoid overhead irrigation
831,Leaf Spot,Tomato,Lycopersicon,A bacterial infection,Maintain good hygiene,Leaf curling,Africa,Low,Maintain field hygiene
832,Rust,Wheat,Glycine,A viral infection,Apply neem oil,White powder on leaves,Asia,Medium,Maintain field hygiene
833,Powdery Mildew,Potato,Solanum,A parasitic infection,Maintain good hygiene,Yellowing leaves,Africa,Medium,Use mulch
834,Leaf Spot,Wheat,Lycopersicon,A fungal disease,Use fungicides,Leaf curling,America,Medium,Use certified seeds
835,Powdery Mildew,Potato,Solanum,A bacterial infection,Use fungicides,Leaf curling,Australia,Low,Avoid overhead irrigation
836,Late Blight,Potato,Triticum,A parasitic infection,Apply neem oil,Black spots on leaves,Australia,Medium,Avoid overhead irrigation
837,Rust,Soybean,Zea,A fungal disease,Apply neem oil,Reddish pustules,America,Low,Avoid overhead irrigation
838,Anthracnose,Potato,Triticum,A bacterial infection,Apply neem oil,Black spots on leaves,Africa,Medium,Maintain field hygiene
839,Anthracnose,Tomato,Glycine,A parasitic infection,Maintain good hygiene,Leaf curling,America,Low,Maintain field hygiene
840,Anthracnose,Tomato,Lycopersicon,A bacterial infection,Use resistant varieties,Black spots on leaves,America,Low,Maintain field hygiene
841,Leaf Spot,Potato,Lycopersicon,Caused by nematodes,Apply neem oil,Black spots on leaves,Australia,Medium,Maintain field hygiene
842,Powdery Mildew,Soybean,Lycopersicon,A parasitic infection,Apply neem oil,Leaf curling,Australia,High,Maintain field hygiene
843,Rust,Wheat,Triticum,A viral infection,Rotate crops,Reddish pustules,America,Low,Use certified seeds
844,Rust,Soybean,Glycine,A viral infection,Apply neem oil,Yellowing leaves,Australia,High,Avoid overhead irrigation
845,Leaf Spot,Soybean,Zea,A fungal disease,Use resistant varieties,Leaf curling,Africa,Medium,Avoid overhead irrigation
846,Rust,Wheat,Lycopersicon,Caused by nematodes,Use fungicides,Leaf curling,Africa,Medium,Use mulch
847,Rust,Tomato,Zea,A fungal disease,Rotate crops,White powder on leaves,Europe,Low,Avoid overhead irrigation
848,Powdery Mildew,Corn,Lycopersicon,A viral infection,Rotate crops,Yellowing leaves,America,Low,Use certified seeds
849,Powdery Mildew,Soybean,Lycopersicon,A parasitic infection,Rotate crops,Leaf curling,Asia,Medium,Maintain field hygiene
850,Powdery Mildew,Tomato,Triticum,Caused by nematodes,Use fungicides,Reddish pustules,Africa,Low,Use certified seeds
851,Leaf Spot,Potato,Solanum,A bacterial infection,Maintain good hygiene,Yellowing leaves,Australia,Low,Maintain field hygiene
852,Leaf Spot,Soybean,Lycopersicon,A bacterial infection,Maintain good hygiene,White powder on leaves,America,High,Use mulch
853,Leaf Spot,Soybean,Solanum,A parasitic infection,Use fungicides,Yellowing leaves,Asia,Low,Maintain field hygiene
854,Rust,Potato,Triticum,A viral infection,Rotate crops,White powder on leaves,Asia,High,Crop rotation
855,Anthracnose,Corn,Lycopersicon,A fungal disease,Use resistant varieties,Leaf curling,Asia,High,Crop rotation
856,Rust,Corn,Glycine,A viral infection,Use fungicides,Leaf curling,Asia,Low,Maintain field hygiene
857,Powdery Mildew,Wheat,Lycopersicon,A parasitic infection,Rotate crops,Yellowing leaves,Africa,Medium,Crop rotation
858,Anthracnose,Potato,Lycopersicon,A viral infection,Rotate crops,Reddish pustules,Europe,Low,Avoid overhead irrigation
859,Late Blight,Tomato,Glycine,A fungal disease,Apply neem oil,Black spots on leaves,Australia,High,Avoid overhead irrigation
860,Anthracnose,Tomato,Glycine,A fungal disease,Use fungicides,Yellowing leaves,Africa,Low,Use certified seeds
861,Powdery Mildew,Corn,Lycopersicon,Caused by nematodes,Maintain good hygiene,Black spots on leaves,Europe,High,Avoid overhead irrigation
862,Powdery Mildew,Wheat,Zea,Caused by nematodes,Rotate crops,Leaf curling,Africa,Low,Use mulch
863,Powdery Mildew,Wheat,Triticum,Caused by nematodes,Maintain good hygiene,Reddish pustules,Australia,Low,Use mulch
864,Powdery Mildew,Tomato,Zea,A viral infection,Maintain good hygiene,Yellowing leaves,Africa,High,Use certified seeds
865,Late Blight,Wheat,Lycopersicon,A bacterial infection,Apply neem oil,Black spots on leaves,Australia,Medium,Crop rotation
866,Anthracnose,Corn,Solanum,A viral infection,Apply neem oil,Yellowing leaves,America,Medium,Use mulch
867,Late Blight,Corn,Glycine,A fungal disease,Use fungicides,Yellowing leaves,Africa,Low,Avoid overhead irrigation
868,Rust,Wheat,Glycine,Caused by nematodes,Use fungicides,Reddish pustules,America,High,Avoid overhead irrigation
869,Anthracnose,Corn,Solanum,A parasitic infection,Rotate crops,Black spots on leaves,Africa,Low,Maintain field hygiene
870,Rust,Corn,Triticum,A bacterial infection,Use resistant varieties,Leaf curling,America,High,Use certified seeds
871,Rust,Wheat,Triticum,A viral infection,Rotate crops,Leaf curling,America,High,Crop rotation
872,Rust,Corn,Lycopersicon,A bacterial infection,Maintain good hygiene,Leaf curling,America,Low,Maintain field hygiene
873,Powdery Mildew,Potato,Lycopersicon,A parasitic infection,Use fungicides,White powder on leaves,Asia,Low,Avoid overhead irrigation
874,Anthracnose,Corn,Glycine,Caused by nematodes,Use fungicides,White powder on leaves,Europe,Low,Use certified seeds
875,Leaf Spot,Soybean,Solanum,Caused by nematodes,Use fungicides,Reddish pustules,Europe,High,Use certified seeds
876,Anthracnose,Tomato,Solanum,A fungal disease,Use fungicides,Black spots on leaves,America,High,Use mulch
877,Powdery Mildew,Potato,Zea,A viral infection,Use resistant varieties,Black spots on leaves,Asia,Medium,Avoid overhead irrigation
878,Anthracnose,Wheat,Triticum,A fungal disease,Rotate crops,White powder on leaves,Asia,Low,Avoid overhead irrigation
879,Powdery Mildew,Tomato,Triticum,A bacterial infection,Use fungicides,White powder on leaves,Australia,Medium,Maintain field hygiene
880,Anthracnose,Soybean,Lycopersicon,A parasitic infection,Use resistant varieties,White powder on leaves,Asia,High,Avoid overhead irrigation
881,Anthracnose,Tomato,Lycopersicon,A parasitic infection,Apply neem oil,Reddish pustules,America,High,Avoid overhead irrigation
882,Rust,Corn,Triticum,A fungal disease,Use resistant varieties,Yellowing leaves,Australia,High,Crop rotation
883,Late Blight,Tomato,Zea,A fungal disease,Use fungicides,Yellowing leaves,Europe,Low,Use certified seeds
884,Anthracnose,Wheat,Lycopersicon,A bacterial infection,Use fungicides,Yellowing leaves,Europe,High,Crop rotation
885,Leaf Spot,Corn,Lycopersicon,Caused by nematodes,Use resistant varieties,Black spots on leaves,Africa,High,Avoid overhead irrigation
886,Late Blight,Corn,Zea,A parasitic infection,Use fungicides,Yellowing leaves,America,Low,Maintain field hygiene
887,Leaf Spot,Soybean,Glycine,A fungal disease,Use fungicides,Reddish pustules,Africa,High,Use mulch
888,Anthracnose,Tomato,Triticum,A parasitic infection,Use resistant varieties,White powder on leaves,Europe,Low,Crop rotation
889,Powdery Mildew,Soybean,Solanum,Caused by nematodes,Rotate crops,Black spots on leaves,Asia,Low,Crop rotation
890,Anthracnose,Corn,Solanum,A parasitic infection,Maintain good hygiene,Yellowing leaves,Australia,Low,Maintain field hygiene
891,Rust,Corn,Solanum,Caused by nematodes,Rotate crops,White powder on leaves,Africa,Low,Avoid overhead irrigation
892,Powdery Mildew,Soybean,Solanum,Caused by nematodes,Use resistant varieties,Black spots on leaves,America,Low,Use mulch
893,Leaf Spot,Corn,Solanum,A viral infection,Use fungicides,Leaf curling,Europe,Low,Crop rotation
894,Anthracnose,Tomato,Glycine,A bacterial infection,Rotate crops,Reddish pustules,Europe,High,Maintain field hygiene
895,Anthracnose,Potato,Triticum,A parasitic infection,Use resistant varieties,Reddish pustules,Australia,High,Crop rotation
896,Powdery Mildew,Soybean,Lycopersicon,Caused by nematodes,Use resistant varieties,Reddish pustules,Europe,Low,Avoid overhead irrigation
897,Anthracnose,Wheat,Solanum,A parasitic infection,Apply neem oil,Reddish pustules,Africa,Low,Avoid overhead irrigation
898,Late Blight,Potato,Zea,A fungal disease,Use fungicides,Reddish pustules,Europe,High,Crop rotation
899,Leaf Spot,Wheat,Solanum,A bacterial infection,Apply neem oil,Yellowing leaves,Europe,Medium,Use mulch
900,Anthracnose,Corn,Glycine,A bacterial infection,Maintain good hygiene,Yellowing leaves,Australia,Low,Avoid overhead irrigation
901,Anthracnose,Potato,Triticum,A fungal disease,Use resistant varieties,Leaf curling,Asia,Medium,Use certified seeds
902,Powdery Mildew,Corn,Zea,A fungal disease,Use resistant varieties,Black spots on leaves,America,Low,Use mulch
903,Rust,Corn,Solanum,A parasitic infection,Use fungicides,Yellowing leaves,America,Medium,Avoid overhead irrigation
904,Leaf Spot,Soybean,Glycine,A viral infection,Apply neem oil,Reddish pustules,Africa,Low,Use mulch
905,Late Blight,Wheat,Solanum,A parasitic infection,Apply neem oil,White powder on leaves,America,High,Use certified seeds
906,Late Blight,Tomato,Solanum,A parasitic infection,Use fungicides,White powder on leaves,Australia,High,Crop rotation
907,Powdery Mildew,Soybean,Zea,Caused by nematodes,Apply neem oil,Black spots on leaves,Australia,High,Use certified seeds
908,Late Blight,Soybean,Glycine,A parasitic infection,Use fungicides,Leaf curling,Europe,Medium,Use mulch
909,Rust,Wheat,Triticum,A bacterial infection,Apply neem oil,Leaf curling,Europe,High,Maintain field hygiene
910,Anthracnose,Soybean,Glycine,A viral infection,Use fungicides,Yellowing leaves,Africa,High,Maintain field hygiene
911,Leaf Spot,Wheat,Triticum,A fungal disease,Maintain good hygiene,Leaf curling,Asia,High,Use mulch
912,Anthracnose,Soybean,Triticum,A bacterial infection,Use fungicides,Leaf curling,Europe,High,Maintain field hygiene
913,Powdery Mildew,Potato,Triticum,A fungal disease,Use fungicides,Reddish pustules,Australia,High,Avoid overhead irrigation
914,Anthracnose,Wheat,Triticum,Caused by nematodes,Apply neem oil,White powder on leaves,Europe,Low,Use mulch
915,Rust,Tomato,Glycine,A parasitic infection,Apply neem oil,Yellowing leaves,Africa,Low,Avoid overhead irrigation
916,Late Blight,Soybean,Zea,Caused by nematodes,Use fungicides,Leaf curling,Africa,High,Use mulch
917,Leaf Spot,Potato,Triticum,A fungal disease,Use fungicides,Leaf curling,Europe,Low,Use certified seeds
918,Rust,Tomato,Lycopersicon,A parasitic infection,Apply neem oil,White powder on leaves,Asia,High,Use mulch
919,Powdery Mildew,Soybean,Triticum,A parasitic infection,Use resistant varieties,Black spots on leaves,America,High,Use mulch
920,Leaf Spot,Soybean,Lycopersicon,Caused by nematodes,Rotate crops,Yellowing leaves,Australia,Medium,Crop rotation
921,Anthracnose,Corn,Solanum,A fungal disease,Maintain good hygiene,Leaf curling,Asia,Low,Maintain field hygiene
922,Powdery Mildew,Soybean,Triticum,A viral infection,Use fungicides,Yellowing leaves,Africa,Low,Maintain field hygiene
923,Anthracnose,Tomato,Lycopersicon,Caused by nematodes,Apply neem oil,Yellowing leaves,Australia,Medium,Use certified seeds
924,Rust,Tomato,Triticum,A bacterial infection,Rotate crops,Black spots on leaves,Australia,Medium,Use certified seeds
925,Rust,Potato,Glycine,A bacterial infection,Use fungicides,Leaf curling,America,High,Use certified seeds
926,Powdery Mildew,Corn,Zea,A bacterial infection,Apply neem oil,Yellowing leaves,Africa,High,Crop rotation
927,Late Blight,Potato,Solanum,A fungal disease,Apply neem oil,Leaf curling,America,High,Use certified seeds
928,Powdery Mildew,Potato,Zea,A bacterial infection,Use resistant varieties,Leaf curling,America,High,Use mulch
929,Late Blight,Soybean,Zea,A bacterial infection,Use fungicides,Reddish pustules,Asia,High,Maintain field hygiene
930,Powdery Mildew,Potato,Glycine,A parasitic infection,Rotate crops,Black spots on leaves,Africa,Medium,Avoid overhead irrigation
931,Powdery Mildew,Wheat,Lycopersicon,A parasitic infection,Maintain good hygiene,Yellowing leaves,Africa,High,Use mulch
932,Leaf Spot,Corn,Solanum,A parasitic infection,Use resistant varieties,Yellowing leaves,Asia,Medium,Use mulch
933,Late Blight,Soybean,Zea,A fungal disease,Maintain good hygiene,Leaf curling,Africa,Medium,Crop rotation
934,Late Blight,Wheat,Triticum,A bacterial infection,Use fungicides,Yellowing leaves,Asia,Medium,Crop rotation
935,Rust,Tomato,Lycopersicon,Caused by nematodes,Rotate crops,Reddish pustules,Africa,High,Crop rotation
936,Anthracnose,Corn,Solanum,A bacterial infection,Rotate crops,Reddish pustules,Europe,Medium,Maintain field hygiene
937,Rust,Tomato,Zea,A parasitic infection,Rotate crops,White powder on leaves,Africa,Low,Use certified seeds
938,Late Blight,Tomato,Zea,A bacterial infection,Apply neem oil,Yellowing leaves,Europe,High,Maintain field hygiene
939,Leaf Spot,Soybean,Lycopersicon,A parasitic infection,Rotate crops,Yellowing leaves,America,Medium,Maintain field hygiene
940,Late Blight,Wheat,Triticum,A bacterial infection,Apply neem oil,Black spots on leaves,America,Low,Maintain field hygiene
941,Anthracnose,Corn,Zea,A fungal disease,Rotate crops,Leaf curling,America,High,Maintain field hygiene
942,Anthracnose,Soybean,Glycine,A viral infection,Maintain good hygiene,Black spots on leaves,Australia,Medium,Avoid overhead irrigation
943,Powdery Mildew,Potato,Glycine,A viral infection,Maintain good hygiene,Reddish pustules,America,Low,Use certified seeds
944,Leaf Spot,Corn,Lycopersicon,A bacterial infection,Rotate crops,Yellowing leaves,Europe,High,Maintain field hygiene
945,Rust,Soybean,Solanum,Caused by nematodes,Rotate crops,Yellowing leaves,Asia,High,Maintain field hygiene
946,Leaf Spot,Corn,Lycopersicon,A bacterial infection,Apply neem oil,Black spots on leaves,Asia,Low,Maintain field hygiene
947,Powdery Mildew,Corn,Lycopersicon,A bacterial infection,Apply neem oil,Black spots on leaves,Australia,Low,Maintain field hygiene
948,Late Blight,Soybean,Solanum,A viral infection,Apply neem oil,White powder on leaves,Africa,Low,Use certified seeds
949,Anthracnose,Tomato,Solanum,A bacterial infection,Use fungicides,White powder on leaves,America,High,Avoid overhead irrigation
950,Late Blight,Tomato,Solanum,A bacterial infection,Apply neem oil,White powder on leaves,Africa,High,Use mulch
951,Late Blight,Soybean,Triticum,A parasitic infection,Apply neem oil,Black spots on leaves,Asia,High,Use mulch
952,Powdery Mildew,Corn,Zea,A bacterial infection,Use fungicides,Leaf curling,Europe,Medium,Use certified seeds
953,Rust,Tomato,Lycopersicon,A parasitic infection,Rotate crops,Black spots on leaves,Australia,High,Crop rotation
954,Late Blight,Wheat,Glycine,A fungal disease,Use resistant varieties,Reddish pustules,Australia,Low,Crop rotation
955,Anthracnose,Potato,Solanum,Caused by nematodes,Use fungicides,Yellowing leaves,Australia,High,Crop rotation
956,Anthracnose,Potato,Solanum,A bacterial infection,Apply neem oil,Leaf curling,America,Medium,Avoid overhead irrigation
957,Rust,Wheat,Solanum,A parasitic infection,Use fungicides,Yellowing leaves,Australia,Low,Avoid overhead irrigation
958,Rust,Wheat,Zea,A parasitic infection,Maintain good hygiene,Leaf curling,Europe,Low,Crop rotation
959,Powdery Mildew,Wheat,Glycine,A bacterial infection,Maintain good hygiene,Leaf curling,Europe,Medium,Crop rotation
960,Leaf Spot,Corn,Lycopersicon,A viral infection,Rotate crops,Reddish pustules,Australia,Medium,Maintain field hygiene
961,Anthracnose,Tomato,Zea,A viral infection,Apply neem oil,Reddish pustules,Asia,Medium,Maintain field hygiene
